Date,Symbol,Open,High,Low,Close,Volume,Open Interest,Duplicate row,Missing date,OHLC range violation,Stagnant price,Flat price anomaly,Zero-volume with move,Extreme volume outlier,Day-over-day jump,Absolute price bounds (IQR),High < Low inversion,Negative numeric,Schema,Open interest,critical_flags,major_flags,minor_flags,AI_Explanation,AI_Trend
20210101,FUT3,155,230,130,125,1192,401,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,"The row was flagged for an ""OHLC range violation"" because the Close price (125) is outside of the provided Low (130) and High (230) range; this is likely suspicious given the data inconsistency.","Throughout the week, the symbol FUT3 experienced a significant decline in price from an open of 155 to a close of 125, despite having relatively low trading volume and open interest."
20210104,FUT2,43285,43285,43285,43285,0,400,False,False,False,True,False,True,False,True,False,False,False,False,False,1,0,2,"The row was flagged due to a sharp increase in price from previous values with no volume activity (Zero-volume with move), which is suspicious as the stagnant price at an unusually high level with a significant day-over-day jump suggests potential data entry error.","Over the week, FUT2 experienced an unusual and dramatic price jump from the mid-300s on January 1st to an exact closing price of 43,285 on January 4th, with the latter date also displaying no trading volume, suggesting a potential data entry error or market anomaly."
20210104,FUT3,135,145,100,200,1309,502,False,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,"The row was flagged due to an ""OHLC range violation"" and a ""Day-over-day jump,"" with the former likely due to the High value of 145 being less than the previous day's High of 230, and the latter due to a significant Close price increase from 125 to 200; these issues seem suspicious and may warrant further investigation.","Over the observed period, FUT3 experienced significant price volatility, with a notable decline from an opening price of 155 to a closing price of 125 on the first day, followed by a sharp recovery to a closing price of 200 on the second day, accompanied by a slight increase in trading volume and open interest."
20210104,FUT5,2050,2550,2000,1900,1167,576,False,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,"The row was likely flagged due to the ""OHLC range violation"" and ""Day-over-day jump"" checks, as there is a significant increase in both the price levels and the overall range when compared to the previous trading day, making this price movement suspicious.","Over the observed week, the symbol FUT5 experienced an unusual and dramatic increase in both price range and open, with a significant drop in the closing price on the second date, while maintaining relatively stable trading volume."
20210104,FUT9,435,485,390,505,1322,499,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,"The row was flagged for an OHLC range violation because the closing price of 505 is outside the high-low range (390-485) on the same day, suggesting it is suspicious and likely erroneous.","Over the week, the symbol FUT9 experienced a significant price increase from a close of 370 to 505, with consistently high trading volume above 1280, indicating strong market interest and potential volatility."
20210104,FUT10,340,415,315,255,1530,554,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,"The row was flagged for an ""OHLC range violation"" because the recorded close price of 255 is outside the high-low range (315-415), suggesting a data error, making it suspicious.","Over the observed week, FUT10 experienced a significant decline in price from an opening of 475 to a closing of 255, accompanied by consistently high trading volumes, suggesting strong market activity despite the downturn."
20210105,FUT3,100,165,100,205,1073,381,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,"The row was likely flagged due to an OHLC range violation because the Close price (205) is higher than the recorded High price (165), which is probably a data entry error and suspicious.","Over the week, FUT3 experienced significant price volatility with a sharp increase in closing price from 125 to 205, while volume was relatively stable with slight fluctuations, and open interest showed a notable increase before declining by the end of the period."
20210105,FUT6,615,775,595,560,1224,535,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,"The row was flagged for OHLC range violation because the reported High (775) is significantly greater than the surrounding days without any apparent context in the previous day's data, making it suspicious rather than valid.","Over the week, the symbol FUT6 experienced significant price volatility with a notable high on 20210105, while trading volume was exceptionally high on 20210104 and 20210105, suggesting increased market interest or action during those days."
20210105,FUT8,3,3,3,3,1077,552,False,False,False,False,True,False,False,True,False,False,False,False,False,0,1,1,"The row was flagged for ""Flat price anomaly"" and ""Day-over-day jump"" because the prices (Open, High, Low, Close) are unusually flat at 3, showing a drastic drop from the previous day's values; this is likely suspicious given the lack of volatility and significant price decrease.","The week for symbol FUT8 exhibited an anomalous trading day on January 5th, with the price fixed at 3 throughout the session amidst the highest volume of the week, contrasting significantly with previous days' variability and prices."
20210105,FUT10,43240,43240,43240,43240,0,480,False,False,False,True,False,True,False,True,False,False,False,False,False,1,0,2,"The row from 20210105 is flagged due to a stagnant price, zero volume with a significant price movement compared to the previous day, and an unusual day-over-day jump, all of which are likely indicative of a data entry error, making it suspicious.","The data for the week shows an anomaly on January 5th where the price remained constant at 43240 and the volume was zero, indicating a possible data entry error or system malfunction, unlike the preceding days which showed typical market fluctuation and volume."
